iter	Passed	Remaining
0	162	48450
1	179	26812
2	198	19678
3	216	16009
4	234	13815
5	252	12354
6	269	11266
7	286	10445
8	304	9849
9	323	9378
10	341	8964
11	359	8626
12	378	8345
13	396	8092
14	415	7900
15	434	7706
16	453	7545
17	471	7384
18	489	7236
19	508	7121
20	527	7011
21	546	6905
22	564	6796
23	583	6707
24	601	6618
25	621	6548
26	640	6477
27	661	6424
28	680	6362
29	700	6301
30	720	6251
31	740	6201
32	760	6156
33	780	6104
34	798	6047
35	818	6003
36	838	5961
37	858	5919
38	877	5872
39	895	5822
40	913	5772
41	932	5728
42	952	5690
43	970	5648
44	990	5612
45	1008	5569
46	1027	5531
47	1046	5493
48	1064	5454
49	1084	5421
50	1102	5383
51	1120	5344
52	1140	5312
53	1158	5279
54	1177	5246
55	1197	5216
56	1216	5184
57	1233	5145
58	1251	5113
59	1269	5078
60	1287	5043
61	1305	5011
62	1323	4979
63	1341	4948
64	1361	4920
65	1395	4946
66	1413	4916
67	1432	4889
68	1449	4854
69	1467	4822
70	1486	4793
71	1505	4767
72	1524	4739
73	1541	4709
74	1559	4677
75	1577	4648
76	1596	4622
77	1614	4593
78	1633	4570
79	1651	4540
80	1668	4512
81	1687	4485
82	1705	4460
83	1724	4435
84	1743	4409
85	1761	4382
86	1777	4352
87	1795	4324
88	1813	4300
89	1831	4274
90	1850	4250
91	1869	4227
92	1888	4203
93	1908	4181
94	1927	4159
95	1945	4134
96	1964	4112
97	1983	4088
98	2003	4068
99	2021	4043
100	2040	4020
101	2060	3999
102	2079	3978
103	2099	3956
104	2118	3934
105	2138	3914
106	2158	3894
107	2179	3874
108	2198	3852
109	2217	3830
110	2234	3805
111	2254	3783
112	2271	3759
113	2291	3738
114	2310	3717
115	2329	3694
116	2348	3672
117	2368	3652
118	2388	3633
119	2407	3610
120	2423	3585
121	2441	3561
122	2459	3539
123	2477	3515
124	2494	3492
125	2513	3471
126	2531	3449
127	2549	3426
128	2568	3404
129	2585	3381
130	2603	3358
131	2623	3338
132	2640	3315
133	2657	3291
134	2676	3271
135	2695	3250
136	2713	3227
137	2732	3207
138	2750	3185
139	2769	3164
140	2790	3146
141	2808	3125
142	2827	3104
143	2844	3081
144	2863	3061
145	2883	3041
146	2901	3020
147	2920	2998
148	2939	2978
149	2958	2958
150	2976	2937
151	2994	2916
152	3013	2894
153	3032	2874
154	3049	2852
155	3065	2830
156	3083	2808
157	3101	2787
158	3121	2767
159	3140	2748
160	3158	2727
161	3176	2705
162	3195	2685
163	3213	2664
164	3231	2643
165	3248	2622
166	3267	2602
167	3284	2580
168	3301	2559
169	3318	2537
170	3338	2518
171	3357	2498
172	3375	2478
173	3392	2456
174	3411	2436
175	3427	2415
176	3445	2394
177	3463	2374
178	3481	2353
179	3497	2331
180	3515	2311
181	3533	2290
182	3552	2271
183	3570	2251
184	3589	2231
185	3607	2210
186	3624	2190
187	3641	2169
188	3658	2148
189	3675	2128
190	3693	2107
191	3712	2088
192	3729	2067
193	3747	2047
194	3765	2027
195	3783	2007
196	3801	1987
197	3818	1966
198	3836	1947
199	3854	1927
200	3872	1907
201	3888	1886
202	3906	1866
203	3923	1846
204	3942	1826
205	3959	1806
206	3978	1787
207	3995	1767
208	4011	1746
209	4029	1726
210	4048	1707
211	4066	1687
212	4085	1668
213	4103	1648
214	4120	1629
215	4139	1609
216	4156	1589
217	4174	1570
218	4191	1550
219	4208	1530
220	4225	1510
221	4242	1490
222	4258	1470
223	4276	1450
224	4293	1431
225	4309	1411
226	4327	1391
227	4343	1371
228	4359	1351
229	4376	1331
230	4392	1312
231	4409	1292
232	4427	1273
233	4444	1253
234	4460	1233
235	4476	1214
236	4494	1194
237	4511	1175
238	4529	1156
239	4545	1136
240	4562	1117
241	4580	1097
242	4597	1078
243	4615	1059
244	4633	1040
245	4649	1020
246	4667	1001
247	4683	982
248	4700	962
249	4717	943
250	4734	924
251	4750	904
252	4767	885
253	4786	866
254	4803	847
255	4820	828
256	4838	809
257	4856	790
258	4874	771
259	4892	752
260	4909	733
261	4924	714
262	4943	695
263	4962	676
264	4979	657
265	4995	638
266	5014	619
267	5032	600
268	5049	581
269	5066	562
270	5082	543
271	5098	524
272	5115	505
273	5133	487
274	5150	468
275	5169	449
276	5187	430
277	5203	411
278	5219	392
279	5236	374
280	5253	355
281	5272	336
282	5288	317
283	5304	298
284	5320	280
285	5336	261
286	5352	242
287	5370	223
288	5388	205
289	5405	186
290	5423	167
291	5442	149
292	5458	130
293	5474	111
294	5492	93
295	5510	74
296	5527	55
297	5544	37
298	5562	18
299	5581	0
